id,code,description,name
chbe-459,CHBE 459,Chemical and Biological Engineering Economics,Estimation of capital and operating costs; interest calculations; taxes; economic comparison of alternatives; economic optimization. [3-0-0] Prerequisite: Third-year or higher standing in BASc or BSc. This course is not eligible for Credit/D/Fail grading.
chbe-464,CHBE 464,Chemical and Biological Engineering Laboratory,"Experiments in unit operations relating to process, environmental and biological engineering. Experiments are designed to provide experience in instrumentation and control. Field trips may be required. [0-6-0; 0-6-0] Prerequisite: All of CHBE 345, CHBE 355, CHBE 356, CHBE 362 and one of CHBE 365, CHBE 366. This course is not eligible for Credit/D/Fail grading."
chbe-471,CHBE 471,Chemical Process Engineering,"Selection and design of major equipment used in chemical process plants, including heat exchangers, separators, reactors. Recommended pre-requisite: CHBE 376. [3-0-2] Prerequisite: All of CHBE 345, CHBE 352, CHBE 355. This course is not eligible for Credit/D/Fail grading."
chbe-477,CHBE 477,Fuel Cell and Electrochemical Engineering,"Stoichiometry, thermodynamics and kinetics of electrode reactions; conductivity and mass transport in electrolytes; material, energy and voltage balances; design of electrosynthesis, electrorecovery of metals, and energy generation of batteries and fuel cells. Credit will be granted for only one of CHBE 477, CHBE 577. [3-0-0] Prerequisite: All of CHBE 220, CHBE 241, CHBE 346 for students enrolled in CHBE or fourth-year standing in BASc. This course is not eligible for Credit/D/Fail grading."
chbe-483,CHBE 483,Energy Engineering for Climate Change and Sustainability,"Supply and use of conventional and alternative fuels and energy. Design and operation of unit operations for processing of fossil fuels, biomass, and other energy sources. Environmental considerations of energy use that address climate change and sustainability (water usage, environmental footprint, resource use, etc.). Credit will be granted for only one of CHBE 483, CHBE 583. [3-0-0] Prerequisite: Third-year standing or higher in BASc or BSc. This course is not eligible for Credit/D/Fail grading."
chbe-485,CHBE 485,Air Pollution Prevention and Air Quality Engineering,"Fate of air-born chemicals and the associated impacts of air pollutants on health, visibility, smog formation, ozone depletion and global warming; air quality and emission standards; atmospheric dispersion of air pollutants; prevention and control technologies for particulates, SOx, NOx, VOCs, and CO2. Credit will be granted for only one of CHBE 485, CHBE 475 or CHBE 585. [3-0-2*] Prerequisite: Third-year or higher standing in BASc or BSc. This course is not eligible for Credit/D/Fail grading."
chbe-486,CHBE 486,Waste Mitigation and Processing for Resource Recovery,"How chemical and biological waste impact the environment. Physico-chemical, thermal, and biological methods for minimizing, isolating and sustainably treating solid waste and wastewater, including conversion to bioproducts/industrial products, energy and clean water. Recommended prerequisite: All of CHBE 241, CHBE 244, CHBE 370. [3-0-0] Prerequisite: Third-year or higher standing in BASc or BSc. This course is not eligible for Credit/D/Fail grading."
chem-100,CHEM 100,"Atomic and molecular properties, chemical reactions, bonding, nomenclature, kinetics, equilibrium processes, acids and bases, oxidation and reduction. Intended for students who do not receive a satisfactory score on the UBC Chemistry Basic Skills Test, and need to establish a foundation of chemistry skills before proceeding to other first-year chemistry courses. [3-0-1] Prerequisite: Not open to students with credit for Chemistry 12. Permission of the department head. Not eligible for Credit/D/Fail grading.",Foundations of Chemistry
chem-110,CHEM 110,"Fundamentals of bonding theories, structural chemistry and equilibrium with applications relevant to modern society. [3-0-1] Prerequisite: Not open to students with credit for Chemistry 12. A satisfactory score on the UBC Chemistry Basic Skills Test. Not eligible for Credit/D/Fail grading.","Structure, Bonding and Equilibrium in Chemistry (Lecture)"
chem-111,CHEM 111,"Fundamentals of bonding theories, structural chemistry and equilibrium with applications relevant to modern society. [3-3-1] Prerequisite: Not open to students with credit for CHEM 12. A satisfactory score on the UBC Chemistry Basic Skills Test.","Structure, Bonding, and Equilibrium in Chemistry"
chem-115,CHEM 115,"An introduction to the principles and techniques of the chemistry laboratory. [0-3-0] Prerequisite: One of CHEM 110, CHEM 120.",Introductory Chemical Laboratory I
chem-120,CHEM 120,"Fundamentals of bonding theories, structural chemistry, with applications relevant to modern society. [3-0-0] Prerequisite: One of CHEM 12, CHEM 100. Not eligible for Credit/D/Fail grading.",Structure and Bonding in Chemistry (Lecture)
chem-121,CHEM 121,"Fundamentals of bonding theories and structural chemistry, with applications relevant to modern society. [3-3-0] Prerequisite: One of CHEM 12, CHEM 100. Equivalency: CHEM 141",Structure and Bonding in Chemistry
chem-123,CHEM 123,"Fundamentals of chemical reactivity: thermodynamics; kinetics; organic chemistry, including stereochemistry; applications relevant to modern society. [3-3-0] Prerequisite: One of CHEM 111, CHEM 121, CHEM 141.","Thermodynamics, Kinetics and Organic Chemistry"
chem-130,CHEM 130,"Fundamentals of chemical reactivity: thermodynamics; kinetics; organic chemistry, including stereochemistry; applications relevant to modern society. [3-0-0] Prerequisite: One of CHEM 110, CHEM 111, CHEM 120, CHEM 121, CHEM 141.","Thermodynamics, Kinetics and Organic Chemistry (Lecture)"
chem-135,CHEM 135,"An introduction to the principles and techniques of the chemistry laboratory. [0-3-0] Prerequisite: One of CHEM 111, CHEM 115, CHEM 121, CHEM 141.",Introductory Chemical Laboratory II
chem-141,CHEM 141,"Bonding theories, their predictions, experimental tests, and consequences regarding chemical structure and observable properties. Applications relevant to modern society are emphasized. For students interested in lab-focused sciences such as Chemistry, Physics, Biochemistry, Microbiology and related disciplines. Restricted to students in the Faculty of Science. [3-3-0] Prerequisite: One of CHEM 12, CHEM 100. Equivalency: CHEM 121","Chemical Bonding, Molecular Structure and Properties for Lab Sciences"
chem-154,CHEM 154,"Chemical bonding, properties of matter. Chemical thermodynamics with applications to phase equilibria, aqueous equilibria and electrochemistry. Processes at surfaces. [3-3*-0] Prerequisite: CHEM 12.",Chemistry for Engineering
chem-203,CHEM 203,"Structure, bonding and physical properties of aliphatic and aromatic compounds; mechanistic analysis of chemical reactivity of common functional groups with a focus on carbon-heteroatom bond formation; functional group interconversion and oxidation/reduction reactions. Only open to students in Chemistry or Biochemistry specializations. Credit will be granted for only one of CHEM 203 or CHEM 223, CHEM 225 or CHEM 233, 235. [3-3-0] Prerequisite: Either (a) CHEM 123 or (b) all of CHEM 130, CHEM 135 or (c) SCIE 001.",Introduction to Organic Chemistry
chem-205,CHEM 205,"Chemical kinetics and thermodynamics and spectroscopy useful in biological, medical, agricultural, earth, and related sciences. [3-0-0] Prerequisite: Either (a) SCIE 001 or (b) one of MATH 100, MATH 102, MATH 104, MATH 110, MATH 120, MATH 180, MATH 184 and one of CHEM 130, CHEM 123, CHEM 154.",Physical Chemistry
chem-208,CHEM 208,"Fundamental concepts and principles governing bonding and reactivity of coordination complexes: ligand field theory; symmetry and point groups; frontier molecular orbital theory. [3-0-1] Prerequisite: One of CHEM 130, CHEM 123, SCIE 001. Not eligible for Credit/D/Fail grading.",Coordination Chemistry
chem-210,CHEM 210,"Quantitative chemical analysis; chemical and physical principles of spectrophotometry, potentiometry, and chromatography. [3-0-0] Prerequisite: One of CHEM 123, CHEM 130, SCIE 001. Not eligible for Credit/D/Fail grading.",Introduction to Chemical Analysis (Lecture)
chem-211,CHEM 211,"Quantitative chemical analysis; chemical and physical principles of spectrophotometry, potentiometry, and chromatography. [3-3-0] Prerequisite: Either (a) CHEM 123 or (b) all of CHEM 130, CHEM 135 or (c) SCIE 001. Not eligible for Credit/D/Fail grading.",Introduction to Chemical Analysis
chem-213,CHEM 213,"Spectroscopy of organic compounds. Mechanistic analysis of chemical reactivity of common functional groups with a focus on carbon-carbon bond formation; functional group interconversion. Preference will be given to students in Chemistry or Biochemistry specializations. [3-0-0] Prerequisite: Either (a) one of CHEM 203, CHEM 223 or (b) a score of 76% or higher in CHEM 233.",Organic Chemistry
chem-215,CHEM 215,"An introduction to the principles and techniques in the analytical chemistry laboratory. [0-3-0] Prerequisite: CHEM 210 and one of CHEM 123, CHEM 135.",Introductory Analytical Chemical Laboratory
chem-218,CHEM 218,Chemical reactivity of inorganic systems: oxidation/reduction chemistry; multiply-bonded systems; main group chemistry. [3-0-1] Prerequisite: CHEM 208. Not eligible for Credit/D/Fail grading.,Fundamentals of Reactivity in Inorganic Chemistry
chem-223,CHEM 223,"Structure, bonding and physical properties of aliphatic and aromatic compounds; mechanistic analysis of chemical reactivity of common functional groups with a focus on carbon-heteroatom bond formation; functional group interconversion and oxidation/reduction reactions. Only open to students in Chemistry or Biochemistry specializations. Students should consult the Credit Exclusion List for credit exclusions relating to second-year organic chemistry courses. [3-0-0] Prerequisite: One of CHEM 123, CHEM 130, SCIE 001.",Introduction to Organic Chemistry (Lecture)
chem-225,CHEM 225,"An introduction to the principles and techniques in the synthetic organic and inorganic chemistry laboratory. [0-3-0] Prerequisite: One of CHEM 123, CHEM 135.",Introductory Synthetic Chemical Laboratory
chem-233,CHEM 233,"Reactions and properties of carbonyl compounds, carbohydrates, amino acids, nucleic acids. Credit will be granted for only one of CHEM 233 or CHEM 203 or CHEM 223. [3-0-0] Prerequisite: One of CHEM 123, CHEM 130, SCIE 001.",Organic Chemistry for the Biological Sciences
chem-235,CHEM 235,"Techniques of organic chemistry. To be taken in conjunction with, or in the term following, CHEM 233. Credit will be granted for only one of CHEM 235 or CHEM 203. [0-3-0] Prerequisite: One of CHEM 123, CHEM 135, SCIE 001. Corequisite: [CHEM 233]",Organic Chemistry Laboratory
chem-245,CHEM 245,"Techniques in synthetic organic and inorganic chemistry. Open only to students in Chemistry or Biochemistry specializations. [0-3-1] Prerequisite: Either (a) CHEM 203 or (b) all of CHEM 223, CHEM 225 or (c) all of CHEM 233, CHEM 235. Corequisite: CHEM 213. Not eligible for Credit/D/Fail grading.",Intermediate Synthetic Chemistry Laboratory
chem-250,CHEM 250,"Chemistry of selected groups of inorganic compounds, considered in relation to industrial processes. [3-0-0] Prerequisite: One of CHEM 123, CHEM 130, CHEM 154, SCIE 001.",Inorganic Chemistry for Engineers
chem-251,CHEM 251,"States of matter, properties of gases, phase diagrams. Elementary chemical thermodynamics and kinetics. Reaction equilibria. [3-0-1] Prerequisite: One of CHEM 123, CHEM 130, CHEM 154, SCIE 001.",Physical Chemistry for Engineers
chem-260,CHEM 260,"A description of the properties and reactions of organic compounds. [3-0-0] Prerequisite: One of CHEM 123, CHEM 130, CHEM 154, SCIE 001.",Organic Chemistry for Engineers
chem-300,CHEM 300,Effective argumentation and communication skills in chemistry. Only open to students in a Chemistry specialization. [1-0-3] Prerequisite: Third-year standing. Not eligible for Credit/D/Fail grading.,Communicating Chemistry
chem-301,CHEM 301,"Properties and composition of natural waters, including gas and solid equilibria, pH and acidification, redox chemistry, complexation, corrosion, ion exchange, colloids and microbial transformations. [3-0-0] Prerequisite: One of CHEM 123, CHEM 130, CHBE 220. and Third-year standing.",Aqueous Environmental Chemistry
chem-302,CHEM 302,"Introduction to structure, composition and chemical processes occurring in Earth's atmosphere, including interactions with solar radiation, stratospheric ozone layer, photochemical smog and acid rain. [3-0-0] Prerequisite: One of CHEM 123, CHEM 130, CHBE 220. and Third-year standing.",Atmospheric Environmental Chemistry
chem-304,CHEM 304,"Principles of chemical thermodynamics; introduction to statistical mechanics; phase equilibria; electrochemistry. [3-0-1] Prerequisite: One of CHEM 123, CHEM 130 and one of MATH 200, MATH 217, MATH 226, MATH 253.",Fundamentals of Thermodynamics and Statistical Mechanics
chem-305,CHEM 305,"Diffusion and transport phenomena; interaction of radiation and matter. Methods for determining molecular weight, size, and shape of molecules in solution. [3-0-0] Prerequisite: One of MATH 200, MATH 217, MATH 226, MATH 253 and either (a) a score of 76% or higher in CHEM 205 or (b) CHEM 304 or (c) PHYS 203.",Biophysical Chemistry
chem-311,CHEM 311,"Theory, design, and application of instrumental methods of chemical analysis including spectroscopy, mass spectrometry, electroanalysis, and chemical separations. [3-0-1] Prerequisite: One of CHEM 210, CHEM 211.",Instrumental Analytical Chemistry
chem-312,CHEM 312,"Principles of quantum mechanics; atomic wavefunctions; angular momentum; spin; atomic term symbols. [3-0-1] Prerequisite: One of CHEM 123, SCIE 001 and one of MATH 200, MATH 217, MATH 226, MATH 253.",Introduction to Quantum Mechanics and Spectroscopy
chem-313,CHEM 313,Chemistry of organic substances having particular relevance to the life sciences. [3-0-0] Prerequisite: CHEM 213.,Advanced Organic Chemistry for the Life Sciences
chem-315,CHEM 315,"Principles and techniques of modern chemistry applied by integrating experiments chosen from organic, inorganic, physical, and analytical chemistry. [0-4-0] Prerequisite: One of CHEM 211, CHEM 215 and all of CHEM 213, CHEM 245.",Chemistry Integrated Laboratory I
chem-318,CHEM 318,"Fundamental aspects of chemical catalysis: kinetic models; catalytic processes in biochemistry and industry; emerging topics in catalysis. [3-0-0] Prerequisite: One of CHEM 218, CHEM 250. Not eligible for Credit/D/Fail grading.",Principles of Catalysis
chem-319,CHEM 319,"The nature of scientific research; practical skills for chemical research; communicating science. Restricted to Honours students with third-year standing and, with permission of the department Head, to Major students with satisfactory third-year standing. [1-0-0.5] Not eligible for Credit/D/Fail grading.",Practical Skills for Chemical Research
chem-325,CHEM 325,"Principles and techniques of modern chemistry applied by integrating experiments chosen from organic, inorganic, physical, and analytical chemistry. Open only to students in Chemistry specializations. [0-8-0] Prerequisite: One of CHEM 211, CHEM 215 and all of CHEM 208, CHEM 213, CHEM 245.",Integrated Chemistry Laboratory I
chem-327,CHEM 327,"Basic principles of materials chemistry: classification; nomenclature; synthetic methods; characterization. [3-0-0] Prerequisite: One of CHEM 208, CHEM 250 and one of CHEM 203, CHEM 223, CHEM 233, CHEM 260. Not eligible for Credit/D/Fail grading.",Introduction to Materials Chemistry
chem-329,CHEM 329,"Research ethics; data analysis skills for chemical research. Restricted to Honours students with third-year standing and, with permission of the department Head, to Major students with satisfactory third-year standing. [1-0-0.5] Not eligible for Credit/D/Fail grading.",Research Ethics and Data Analysis Skills
chem-330,CHEM 330,"Application of carbonyl group chemistry, cyclization reactions, conformational analysis and rearrangement reactions in organic synthesis. [3-0-0] Prerequisite: CHEM 213.",Advanced Organic Chemistry
chem-335,CHEM 335,"Further development of principles and techniques of modern chemistry applied by integrating experiments chosen from organic, inorganic, physical, and analytical chemistry. [0-4-0] Prerequisite: CHEM 315.",Chemistry Integrated Laboratory II
chem-341,CHEM 341,"Importance of chemistry in society. Detailed case studies drawn from modern chemistry: human health, energy, commodity chemicals, materials, green chemistry, agriculture. [3-0-0] Prerequisite: One of CHEM 203, CHEM 223, CHEM 233, CHEM 260.",Global Challenges: A Chemical Perspective
chem-345,CHEM 345,"Further development of principles and techniques of modern chemistry applied by integrating experiments chosen from organic, inorganic, physical, and analytical chemistry. Open only to students in Chemistry Major or Honours specializations. [0-8-0] Prerequisite: CHEM 325.",Integrated Chemistry Laboratory II
chem-355,CHEM 355,"Principles and techniques of modern chemistry for students in Combined Major in Science or a Minor in Chemistry integrating experiments from organic, inorganic, physical and analytical chemistry. [0-4-0] Prerequisite: One of CHEM 203, CHEM 211, CHEM 235.",Chemistry Integrated Laboratory
chem-401,CHEM 401,"Rotational, vibrational, electronic and magnetic resonance spectroscopy and associated techniques; group theory. [3-0-0] Prerequisite: One of MATH 152, MATH 221, MATH 223 and one of CHEM 312, PHYS 304.",Principles of Spectroscopy
chem-402,CHEM 402,"Crystal structures; point and space groups; X-ray diffraction, neutron diffraction, electron diffraction of gases and surfaces. Credit will be granted for only one of CHEM 402 or CHEM 514. [3-0-0] Prerequisite: CHEM 208.",Diffraction Methods
chem-403,CHEM 403,"Surfaces and phenomena occurring at surfaces and interfaces: adsorption, thermodynamic treatments, technological applications. Methods for characterization and modification of surfaces. Dynamic electrochemistry and its application to understanding fuel cells. [3-0-0] Prerequisite: CHEM 304 and one of MATH 200, MATH 217, MATH 226, MATH 253.",Surface Chemistry and Surface Analysis
chem-404,CHEM 404,"Application of numerical techniques to study chemical systems; molecular simulation. Prior computer programming experience is not required. [3-0-1] Prerequisite: Either (a) SCIE 001 or (b) one of CHEM 123, CHEM 130, CHEM 154 and one of PHYS 106, PHYS 107, PHYS 108, PHYS 117, PHYS 118, PHYS 170 and one of MATH 101, MATH 103, MATH 105, MATH 121. and Third-year standing. Not eligible for Credit/D/Fail grading.",Computational Chemistry
chem-405,CHEM 405,"Interactions of macromolecules in solution: ligand, antibody and ion binding to macromolecules; thermodynamics of polymer solutions; excluded volume effects; phase separation; partition in two phase polymer solutions. [3-0-0] Prerequisite: One of CHEM 304, CHEM 305, PHYS 203.",Biophysical Chemistry
chem-406,CHEM 406,"Structure and availability of monomers; Propagation mechanisms; synthesis of polymers with predetermined properties; measurement and interpretation of physical properties of polymers. [3-0-0] Prerequisite: One of CHEM 213, CHEM 260 and one of CHEM 205, CHEM 304, CHBE 220.",Polymer Chemistry
chem-407,CHEM 407,"Introductory concepts of statistical mechanics and statistical thermodynamics. Applications to chemistry with emphasis on understanding chemical reactivity. Credit will be granted for only one of CHEM 503/CHEM 407 or PHYS 455. [3-0-0] Prerequisite: One of CHEM 304, PHYS 203.",Statistical Mechanics in Chemistry
chem-408,CHEM 408,"Macroscopic and microscopic kinetics; photochemistry; theory of reaction rates; reaction cross sections, energy distributions, experimental methods. Credit will be granted for only one of CHEM 408 or CHEM 508. [3-0-0] Prerequisite: One of CHEM 304, PHYS 203 and one of CHEM 312, PHYS 304.",Chemical Dynamics
chem-409,CHEM 409,"Application of physical chemistry concepts and principles to the study of molecules in interstellar media and celestial bodies. Credit will be granted for only one of CHEM 409 or CHEM 509. [3-0-0] Prerequisite: One of CHEM 312, PHYS 304. Students with CHEM 205 with a minimum grade of 76% may be admitted with permission of the instructor.",Astrochemistry
chem-410,CHEM 410,"Electromagnetic, optical, thermal and mechanical properties, and chemical reactivity of solids; electrons in periodic systems: bands, zones; excitations: excitons, phonons, plasmons, polaritons; crystalline order and disorder; ionic conductivity. Credit will be granted for only one of CHEM 410 or CHEM 502. [3-0-0] Prerequisite: One of CHEM 304, PHYS 203 and one of CHEM 312, PHYS 304.",Properties of Materials
chem-411,CHEM 411,"Methods and tactics for the synthesis of biologically active natural products and analogs, particularly alkaloids, polyketides, steroids and terpenes. Credit will be granted for only one of CHEM 411 or CHEM 566. [3-0-0] Prerequisite: CHEM 460.",Synthesis and Chemistry of Natural Products
chem-412,CHEM 412,"Introduction to variational methods; many-electron systems; semi-empirical methods; perturbation theory; computational methods. [3-0-0] Prerequisite: One of CHEM 312, PHYS 304 and one of MATH 152, MATH 221, MATH 223.",Electronic Structure of Atoms and Molecules
chem-413,CHEM 413,"Enzyme catalysis; mechanistic enzymology; chemistry of cofactors; biosynthetic transformations; natural product biosynthesis; topics in chemical biology. Credit will be granted for only one of CHEM 413, CHEM 569, or BIOC 403. [3-0-0] Prerequisite: CHEM 313, CHEM 330.",Bioorganic Chemistry
chem-414,CHEM 414,Molecular and electronic structures and reactivities of coordination compounds of the transition elements. Credit will be granted for only one of CHEM 414 or CHEM 525. [3-0-0] Prerequisite: CHEM 218.,Coordination Chemistry of the Transition Elements
chem-416,CHEM 416,"Energetics and catalysis in organic reactions. Pericyclic reactions. Substituent effects. Linear free energy relationships. Credit will be granted for only one of CHEM 416 or CHEM 563. [3-0-0] Prerequisite: [CHEM 313, CHEM 330]",Physical and Theoretical Organic Chemistry
chem-417,CHEM 417,"Basic treatment of the nucleus, with analogy to concepts in chemistry. Nuclear stabilities and associated radioactive decay processes. Nuclear structure. Applications of radioisotopes in chemistry. The interaction of radiation with matter. [3-0-0] Prerequisite: One of CHEM 123, CHEM 130. and Third-year standing. CHEM 312 is recommended.",Nuclear Chemistry and Radiochemistry
chem-418,CHEM 418,The chemistry of compounds containing organic groups directly bonded to metals and metalloids. Emphasis will be placed on the structure and bonding of the compounds and their use in synthetic chemistry. Credit will be granted for only one of CHEM 418 or CHEM 524. [3-0-0] Prerequisite: CHEM 318.,Organometallic Chemistry
chem-419,CHEM 419,"Current research and career perspectives in chemistry. Restricted to Honours students with fourth-year standing and, with permission of the department Head, to Major students with satisfactory fourth-year standing. [1-0-0.5] Not eligible for Credit/D/Fail grading.",Establishing a Career in Chemical Research
chem-427,CHEM 427,"Contemporary materials chemistry, including design and synthesis of materials for energy, electronics, and health applications. [3-0-0] Prerequisite: CHEM 327.",Applications of Materials Chemistry
chem-430,CHEM 430,A review of modern developments in general chemistry for teachers of Secondary School chemistry (Not for credit in the Faculty of Science). Course is offered periodically in extra-sessional sessions.,Developments in Contemporary Chemistry
chem-434,CHEM 434,Unified theory of separation science; liquid and gas chromatography; capillary electrophoresis; electrochemical and spectroscopic detection; separation methods coupled with mass spectrometry and tandem mass spectrometry; biochemical applications. Credit will be granted for only one of CHEM 434 or CHEM 534. [3-0-0] Prerequisite: CHEM 311.,Principles of Chemical Separation
chem-435,CHEM 435,"A discussion of the involvement of inorganic chemistry in biological systems. Chemistry of cations, metalloenzymes, and simpler model systems. Reactions of coordinated ligands, chemistry of sulfur and phosphorus. Credit will be granted for only one of CHEM 435 or CHEM 526. [3-0-0] Prerequisite: All of CHEM 218, CHEM 304.",Bio-Inorganic Chemistry
chem-445,CHEM 445,"Principles of experimental design, practice and problem solving in chemistry, including the opportunity to pursue projects in a research setting. Students cannot take both CHEM 445 and CHEM 449. [0-8-0] Prerequisite: One of CHEM 345, CHEM 335. Students satisfying the prerequisite requirement using CHEM 335 must have 4th-year class standing in a Chemistry Combined Major specialization.",Projects in Experimental Chemistry
chem-448,CHEM 448,Students will undertake an investigation of a specific topic as agreed upon by the student and the faculty supervisor. Open to third- and fourth-year chemistry students.,Directed Studies in Chemistry
chem-449,CHEM 449,Original research work under the direction of a faculty member. Weekly seminar. Required of all Honours students. Open to Majors students with a satisfactory standing and permission of the department head. Students cannot take both CHEM 445 and CHEM 449. Prerequisite: Students will have completed their Year 3 laboratory requirements as outlined in their specialization.,Seminar and Thesis
chem-460,CHEM 460,"Presentation, mechanistic discussion and analysis of modern synthetic methods using principles of physical organic chemistry. Credit will be granted for only one of CHEM 460 or CHEM 560. [3-0-0] Prerequisite: CHEM 330.",Organic Synthesis: A Mechanistic Approach
chem-461,CHEM 461,"Synthetic, mechanistic, and biochemical approaches to chemical biology, including the design of drugs, probes, and catalysts. Credit will be granted for only one of CHEM 461 or CHEM 561. [3-0-0] Prerequisite: One of CHEM 313, CHEM 330. Not eligible for Credit/D/Fail grading.",Synthetic Chemical Biology
chem-473,CHEM 473,"Application of mass spectrometry and modern spectroscopic techniques, including multidimensional NMR spectroscopy, to reaction analysis and detailed characterization of complex organic and organometallic molecular structures. [3-0-0] Prerequisite: CHEM 245 and one of CHEM 313, CHEM 318, CHEM 330.",Structure Determination and Reaction Analysis
chin-131,CHIN 131,"Skills in listening, speaking, reading, and writing in Mandarin Chinese, an active vocabulary of about 250 Chinese words, and basic grammar. Credit will be granted for only one of CHIN 131 or CHIN 101 or CHIN 134.",Basic Chinese I: Part 1 (Non-Heritage)
chin-133,CHIN 133,"Continuation of CHIN 131. Credit will be granted for only one of CHIN 133 or CHIN 103 or CHIN 134. Recommended pre-requisites: one of CHIN 101, CHIN 131.",Basic Chinese I: Part 2 (Non-Heritage)
chin-471,CHIN 471,"Readings in classical poetry from the time of Du Fu (712-770) to the end of the Tang Dynasty, at an advanced level. Not to be taken concurrently with any of the following CHIN 400-level language courses: CHIN 441/443/444/445/447/448/435/437. Credit will be granted for only one of CHIN 471 or 474. Recommended pre-requisites: one of CHIN 313, CHIN 314, CHIN 317, CHIN 318, CHIN 323, CHIN 437, CHIN 443, CHIN 444, CHIN 447, CHIN 448.",Later Classical Chinese Poetry (Tang)
chin-473,CHIN 473,"Readings in classical poetry from the Song to the Qing dynasties, at an advanced level. Not to be taken concurrently with any CHIN courses lower than 400-level. Not to be taken concurrently with any of the following CHIN 400-level language courses: CHIN 441/443/444/445/447/448/435/437. Credit will be granted for only one of CHIN 473 or 474. Recommended pre-requisites: one of CHIN 313, CHIN 314, CHIN 317, CHIN 318, CHIN 323, CHIN 437, CHIN 443, CHIN 444, CHIN 447, CHIN 448.",Later Classical Chinese Poetry (after Tang)
chin-481,CHIN 481,"Selected readings from the May Fourth Era to present. Not to be taken concurrently with any of the following CHIN 400-level language courses: CHIN 441/443/444/445/447/448/435/437. Credit will be granted for only one of CHIN 481 or CHIN 484. Recommended pre-requisites: one of CHIN 313, CHIN 314, CHIN 317, CHIN 318, CHIN 323, CHIN 437, CHIN 443, CHIN 444, CHIN 447, CHIN 448.",Modern Chinese Literature I (Heritage)
chin-483,CHIN 483,"Historical continuation of CHIN 481. Not to be taken concurrently with any of the following CHIN 400-level language courses: CHIN 441/443/444/445/447/448/435/437. Credit will be granted for only one of CHIN 483 or CHIN 484. Recommended pre-requisites: one of CHIN 313, CHIN 314, CHIN 317, CHIN 318, CHIN 323, CHIN 437, CHIN 443, CHIN 444, CHIN 447, CHIN 448.",Modern Chinese Literature II (Heritage)
chin-485,CHIN 485,"Contemporary Chinese films from the 21st century adapted from literary works. Recommended pre-requisites: One of CHIN 437, CHIN 443, CHIN 444, CHIN 447, CHIN 448, or placement approval.",Contemporary Chinese Fiction in Film
cnps-312,CNPS 312,"Introduction to career education practices and standards program content, and principles for the design of career education programs. [3-0]",Career Education for Teachers
cnps-331,CNPS 331,A diversity of communication skills are essential when working in international contexts. The focus of this course is on developing specific skill sets for expanding effective communication competence in a diversity of contexts.,Communication Skills in Global Contexts
cnps-362,CNPS 362,Development of basic interviewing skills for counselling and guidance. [3-3],Basic Interviewing Skills
cnps-363,CNPS 363,Critical survey of career counselling theory and practice. [3-0],Career Counselling
cnps-364,CNPS 364,Examination of current theories and practices in family education and consultation. [3-0],Family Education and Consultation
cnps-365,CNPS 365,An overview of selected theories of counselling. [3-0],Introduction to Theories of Counselling
cnps-426,CNPS 426,This course is designed to assist the teacher in understanding and using guidance techniques for day-to-day use in the classroom. The emphasis will be on techniques for working with people towards better self-understanding and better perspectives of alternatives. [2-1],The Role of the Teacher in Guidance
cnps-427,CNPS 427,"The work of the beginning counsellor and guidance worker in assisting students with educational, vocational, and personal planning and decision-making. [3-0]",Guidance: Planning and Decision-making
cnps-433,CNPS 433,Personal and social adjustment issues for professional counsellors; basic skills necessary for effective group counselling. [3-3],The Personal and Social Development of the Adult
comm-100,COMM 100,An overview of all functional areas of business. Students will be introduced to the computer and internet tools commonly used in business. For non-Commerce students only. Credit will be granted for only one of COMM 100 or COMR 100. Equivalency: COMR 100,Introduction to Business
comm-101,COMM 101,The different disciplines of business and their combination in management planning and decision-making. This course is not eligible for Credit/D/Fail grading.,Business Fundamentals
comm-105,COMM 105,"An introduction to the roles and responsibilities of business at individual, organizational, and societal levels. Students will examine their personal values and lay the foundation for ongoing, active exploration of career paths through which they can achieve their goals. This course is not eligible for Credit/D/Fail grading.","Values, Ethics, and Community"
comm-120,COMM 120,A broad introduction to the field of business and how the different disciplines within business interact and combine in business decision-making. For Master of Management - Dual Degree Option students only. This course is not eligible for Credit/D/Fail grading.,Business Immersion
comm-190,COMM 190,"Introduction to decision models in business, including basic optimization, linear programming, probability, decision analysis, random variables, simulation, and solving decision problems using spreadsheet tools. Credit will be granted for only one of COMM 190, COMM 290, ECON 325, ECON 327, PSYC 366, STAT 241, or STAT 251. Corequisite: One of MATH 100, MATH 102, MATH 104, MATH 110, MATH 120, MATH 180, MATH 184. Equivalency: COMM290. This course is not eligible for Credit/D/Fail grading.",Introduction to Quantitative Decision Making
comm-191,COMM 191,"Methods and applications of statistics in business; data analysis, descriptive regression; data generation; sampling distributions; hypothesis testing; confidence intervals; two sample problems; inference in regression. Credit will be granted for only one of COMM 191, BIOL 300, COMM 291, ECON 226, ECON 325, ECON 327, EPSE 482, FRST 231, GEOG 374, KIN 371, PSYC 218, PSYC 278, PSYC 366, POLI 380, SOCI 328, STAT 200, or STAT 203. Prerequisite: One of COMM 190, COMM 290. Equivalency: COMM291. This course is not eligible for Credit/D/Fail grading.",Application of Statistics in Business
